row_from_station,fsq_id,category_id,name,latitude,longitude,rating,total_ratings,total_photos,total_tips
11,4ac518d2f964a5203ba720e3,10004,Hayward Gallery,51.506202,-0.115535,8.8,378,611,54
11,4b7c1a5ef964a520137d2fe3,10037,Southbank Centre,51.505717,-0.116654,9.2,737,1026,67
11,4ac518e7f964a52067ab20e3,10026,BFI Southbank,51.506455,-0.11474,9.1,834,717,113
11,4b102946f964a5204c6a23e3,17018,Foyles,51.506115,-0.117419,8.7,85,47,13
11,4db2fed55da3a76f441eb742,16045,Queen Elizabeth Hall Roof Garden,51.506543,-0.116335,8.6,250,276,37
11,4ba5102ef964a520c6d738e3,17137,BFI Shop,51.506455,-0.11474,8.4,20,8,5
11,591989356bd36b0dc9c78122,13006,The Hop Locker,51.505643,-0.118255,8.6,51,131,4
11,4dd915961838b8561d0fe1da,10000,Golden Carousel,51.504937,-0.118318,8.9,18,26,0
11,4baf7ed7f964a52095043ce3,18055,Southbank Skate Park,51.506749,-0.116576,8.7,99,287,19
11,4fdb6829e4b039664cf873f5,13303,Wahaca,51.506929,-0.116192,8.1,824,477,147
11,4bdec9150d69b713580266d3,16032,Jubilee Gardens,51.503859,-0.118241,8.5,172,377,28
11,5bd624623af988002c966b09,13002,Gail's Bakery,51.502867,-0.11628,8.6,75,230,13
11,53b7e592498ec20e7e0039b2,13044,Snog Pure Frozen Yogurt,51.504993,-0.118285,8.1,56,100,14
11,4ac7a2caf964a520adb820e3,10039,National Theatre,51.507063,-0.114462,9.3,917,971,96
11,4b7fe34ef964a5209c4230e3,10043,Lyttelton Theatre,51.507203,-0.114926,8.6,73,60,5
11,542eec4e498ee31baa076ef7,10043,Dorfman Theatre,51.507115,-0.113332,9.0,50,50,4
12,4bad16def964a520792c3be3,10037,Prince of Wales Theatre,51.510152,-0.131906,9.1,1081,916,145
12,56eeaf60498e640594de64f5,17000,Dover Street Market,51.509069,-0.131923,9.0,263,252,14
12,585970d56ad73d0218d2eb31,13002,Ole & Steen,51.509248,-0.13273,9.1,463,309,108
12,4adce812f964a5206a6221e3,10010,The Comedy Store,51.509976,-0.132196,8.7,209,145,44
12,4ac518e7f964a5204bab20e3,10039,His Majesty's Theatre,51.508153,-0.131838,9.0,875,1359,130
12,557f12cf498e2f025de8c7d0,10024,Picturehouse Central,51.510697,-0.134138,9.4,517,286,63
12,537504a8498e1fe2c8c4fa71,13302,The Palomar,51.511306,-0.132669,8.7,513,186,132
12,55df738f498e7d1805fafb9d,13177,Estiatorio Milos,51.50807,-0.133629,9.0,662,1308,125
12,4c9c6a059c48236a1cb14dee,16041,Piccadilly Circus,51.509871,-0.134457,9.0,8362,16028,606
12,4ac518cdf964a520e6a520e3,10004,National Gallery,51.508742,-0.128459,9.4,5246,5527,514
12,4ad09ceff964a520bdd820e3,10026,Prince Charles Cinema,51.51148,-0.130091,9.2,502,395,77
12,55e78d26498e8bc8dd5a4dde,13046,Amorino,51.510522,-0.128567,8.9,98,73,18
12,50b10c8ce4b0ed6fa935ac0c,13009,Opium Cocktails & Dim Sum Parlour,51.511744,-0.131396,8.7,613,324,132
12,5012e92de4b0be9af4be8869,13236,San Carlo Cicchetti,51.509469,-0.134977,8.8,438,441,141
12,4ac518d2f964a52047a720e3,10004,National Portrait Gallery,51.509359,-0.127992,9.0,1802,1486,190
12,4ac518e7f964a52059ab20e3,10037,Queen's Theatre,51.512055,-0.132855,9.1,442,915,72
12,55f9c860498e9521ebb5d30f,13003,Gielgud Theatre,51.511833,-0.132991,9.5,264,,0
12,4e14af2a31515b10e2c52f18,13000,The Century Kitchen,51.51197,-0.132358,9.4,114,0,4
12,4c1fdbb2d38ec9b6d64b4d83,13035,Gelupo,51.511472,-0.133759,8.9,987,506,234
12,5113babbd63e8bb673ce4b25,13002,Carpo Piccadilly,51.509601,-0.135629,9.2,807,806,198
13,4e3d290c1838cb1b82ec18cb,11002,Stepney City Farm,51.51708,-0.043354,8.8,112,100,18
13,4dd680fd1838b8561cce769e,16039,Stepney Green Park,51.517888,-0.046982,8.2,26,13,3
13,4bcad735cc8cd13a6b62becf,16032,Stepney Green Gardens,51.518248,-0.046214,7.1,12,6,1
13,5524015a498e020b3e0545ba,12075,Post Office,51.517782,-0.039814,6.4,0,,
13,524227bd11d2cfbe6a9a89ac,13055,Khf,51.520553,-0.04664,7.3,8,1,3
13,4c4d970b9efabe9a6ae3bf68,13002,Johnny Wall,51.517872,-0.039026,6.8,8,4,3
13,56e18eb5cd100cbb1c74bb01,13356,Efes,51.521567,-0.046938,7.9,36,11,9
13,4c6b8c8d99b9236a03d0e0c9,10045,Mile End Snooker Club,51.522252,-0.044964,7.5,10,8,2
